timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684761461062,61,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/22,61,0,0
1684761461063,81,PUT specific Activity,200,OK,Stress test 1-2,text,true,,333,305,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,81,0,0
1684761461124,41,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/27,41,0,0
1684761461123,42,POST Activity,200,OK,Stress test 1-3,text,true,,341,311,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,42,0,0
1684761461144,39,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,39,0,0
1684761461165,38,PUT specific Activity,200,OK,Stress test 1-3,text,true,,341,312,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/9,38,0,0
1684761461165,40,POST Activity,200,OK,Stress test 1-1,text,true,,331,301,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,40,0,0
1684761461183,41,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,41,0,0
1684761461203,40,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/9,40,0,0
1684761461205,43,PUT specific Activity,200,OK,Stress test 1-1,text,true,,331,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/27,43,0,0
1684761461224,43,POST Activity,200,OK,Stress test 1-2,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,43,0,0
1684761461244,41,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/14,41,0,0
1684761461248,39,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/27,39,0,0
1684761461267,48,PUT specific Activity,200,OK,Stress test 1-2,text,true,,333,305,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,48,0,0
1684761461285,40,POST Activity,200,OK,Stress test 1-3,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,40,0,0
1684761461288,39,GET specific Activity,200,OK,Stress test 1-1,text,true,,351,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/5,39,0,0
1684761461315,38,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,38,0,0
1684761461351,47,POST Activity,200,OK,Stress test 1-1,text,true,,331,301,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,47,0,0
1684761461354,44,GET specific Activity,200,OK,Stress test 1-2,text,true,,352,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/7,44,0,0
1684761461351,47,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,305,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/14,47,0,0
1684761461398,40,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/14,40,0,0
1684761461398,65,PUT specific Activity,200,OK,Stress test 1-1,text,true,,331,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/5,65,0,0
1684761461398,77,POST Activity,200,OK,Stress test 1-2,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,77,0,0
1684761461439,46,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/13,46,0,0
1684761461463,44,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/5,44,0,0
1684761461475,37,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/7,37,0,0
1684761461485,40,POST Activity,200,OK,Stress test 1-3,text,true,,334,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,40,0,0
1684761461512,43,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/7,43,0,0
1684761461507,48,GET specific Activity,200,OK,Stress test 1-1,text,true,,351,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/6,48,0,0
1684761461525,40,PUT specific Activity,200,OK,Stress test 1-3,text,true,,334,306,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/13,40,0,0
1684761461556,49,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/26,49,0,0
1684761461556,49,POST Activity,200,OK,Stress test 1-1,text,true,,340,310,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,49,0,0
1684761461565,40,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/13,40,0,0
1684761461606,39,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,39,0,0
1684761461605,53,PUT specific Activity,200,OK,Stress test 1-1,text,true,,340,311,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/6,53,0,0
1684761461605,53,POST Activity,200,OK,Stress test 1-2,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,53,0,0
1684761461645,37,POST Activity,200,OK,Stress test 1-3,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,37,0,0
1684761461658,40,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/6,40,0,0
1684761461658,40,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/26,40,0,0
1684761461682,55,PUT specific Activity,200,OK,Stress test 1-3,text,true,,332,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,55,0,0
1684761461698,67,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/26,67,0,0
1684761461699,70,GET specific Activity,200,OK,Stress test 1-1,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/28,70,0,0
1684761461737,46,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,46,0,0
1684761461767,48,GET specific Activity,200,OK,Stress test 1-2,text,true,,352,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/3,48,0,0
1684761461769,48,POST Activity,200,OK,Stress test 1-1,text,true,,334,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,48,0,0
